usuario,texto,entidade_mencionada,score_sentimento
99899b5a-eb3d-4d67-a64f-a143f824a709,game jam no hype,Gamejam,0.0
99899b5a-eb3d-4d67-a64f-a143f824a709,game jam no hype,Hype,0.0
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,boa sorte na maratona,Secom,0.6124
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,boa sorte na maratona,Maratona,0.6124
12c8e1ec-c662-415a-b106-b64ccb7ece3f,faltou o check-in para a gamejam,Gamejam,-0.4767
12c8e1ec-c662-415a-b106-b64ccb7ece3f,muito legal ter 2 dias para realização da gamejam esse ano,Secom,-0.0258
12c8e1ec-c662-415a-b106-b64ccb7ece3f,muito legal ter 2 dias para realização da gamejam esse ano,Gamejam,-0.0258
226440c8-ce0c-42b8-a37b-8435e915955d,a maratona foi ótima,Maratona,0.6705
86cb75a4-c315-4d9a-9289-8ea110fc8799,ansioso pro coffee break,Break,0.3612
86cb75a4-c315-4d9a-9289-8ea110fc8799,ansioso pro coffee break,Pro,0.3612
9aa2b218-1ce5-4019-8e59-cefd44bc9866,eu quero a bolsa,Bolsa,0.0
86cb75a4-c315-4d9a-9289-8ea110fc8799,bom vídeo do cifrasclub,Video,0.4588
86cb75a4-c315-4d9a-9289-8ea110fc8799,bom vídeo do cifrasclub,Mesa,0.4588
9aa2b218-1ce5-4019-8e59-cefd44bc9866,"obrigado gláucia, pela linda festa",Glaucia,0.8402
9aa2b218-1ce5-4019-8e59-cefd44bc9866,vamos trojan,Trojan,0.0
548430cf-9b95-4cde-93c2-547a80cdd20e,a maratona foi ótima,Maratona,0.6705
99899b5a-eb3d-4d67-a64f-a143f824a709,coffe break da game jam foi o melhor 😋,Coffe,0.4404
99899b5a-eb3d-4d67-a64f-a143f824a709,coffe break da game jam foi o melhor 😋,Gamejam,0.4404
99899b5a-eb3d-4d67-a64f-a143f824a709,coffe break da game jam foi o melhor 😋,Secom,0.4404
71ec2c5f-212f-479f-bcb4-75bef259f870,"muitos participantes não vão conseguir chegar pra abertura, fila do ru está muito lenta",Participantes,-0.6808
71ec2c5f-212f-479f-bcb4-75bef259f870,"muitos participantes não vão conseguir chegar pra abertura, fila do ru está muito lenta",Abertura,-0.6808
71ec2c5f-212f-479f-bcb4-75bef259f870,"muitos participantes não vão conseguir chegar pra abertura, fila do ru está muito lenta",Mesa,-0.6808
ef513315-04b4-49b0-ae60-0cfd18608054,muito divertido a maratona,Maratona,0.4404
47cacf3f-e0f2-421b-a645-5e0efd6cc615,fila do ru tirando um checkin meu,Checkin,0.0
47cacf3f-e0f2-421b-a645-5e0efd6cc615,fila do ru tirando um checkin meu,Mesa,0.0
070db213-148d-45f2-8d8a-a0533d8ed2b1,grandes espectativas,Secom,0.296
7d582411-e617-4105-8edf-bca7ee066eca,gostei bastante da maratona,Maratona,0.4215
43aca24c-d788-497e-8521-06df728eeaf8,"a maratona foi muito boa, bem concorrido",Maratona,0.6249
43aca24c-d788-497e-8521-06df728eeaf8,não deu pra almoçar pós maratona,Maratona,-0.296
15ae4086-4952-4aac-a16b-5c2852e5e523,"boa tarde, gente",Tarde,0.4588
a9d36446-c85c-43d3-bccf-8084d2231951,apresentação da setapp muito boa,Setapp,0.4588
a9d36446-c85c-43d3-bccf-8084d2231951,apresentação da setapp muito boa,Palestras,0.4588
43aca24c-d788-497e-8521-06df728eeaf8,a todo vapor na gamejam,Gamejam,0.0
15ae4086-4952-4aac-a16b-5c2852e5e523,os eventos estão bem legais até agora,Eventos,0.2732
a9d36446-c85c-43d3-bccf-8084d2231951,fiquei muito interessado pela empresa júnior setapp,Empresa,0.3612
