participante,comentário
3ad87374-5d6b-41e4-a901-00435a3f8c6e,gostei muito de presenciar esse evento
8f5325ba-18dd-4ae4-b9e8-c669f82c4571,me sinto confortavel
8f5325ba-18dd-4ae4-b9e8-c669f82c4571,representada
6e668e80-7eda-405e-814d-d4b1dd4538c3,muito legal conhecer uma mulher tão forte
6e668e80-7eda-405e-814d-d4b1dd4538c3,inteligente
560003d3-5b59-481c-85d2-838ef984b466,inspiração para que outros sigam no propósito
3ecdcc60-1292-4833-9c99-08066e0a6e86,palestra de abertura foi muito inspiradora
342d6dfe-f757-4730-97bc-246b444e6474,queria falar sobre a inspiração que é michelle wangham
342d6dfe-f757-4730-97bc-246b444e6474,"o quanto foi lindo de conhecer sua história pessoal, acadêmica"
342d6dfe-f757-4730-97bc-246b444e6474,profissional
342d6dfe-f757-4730-97bc-246b444e6474,uma lição de como nós mulheres podemos seguir nossos sonhos
4b19c21f-0936-4c69-ae25-18f84c9119a3,é bom ter uma história tao linda pra se espelhar que nem a da michele
f6bf24cf-734d-4f0e-a735-4a08d53c2b85,história de vida inspiradora
c55ff755-bd00-4af8-b6ed-ed43007446b3,muito querida a mirella entregando marca-páginas pra gente
050da8f6-fd58-42b6-8066-82fb42c0fa4b,as recepcionistas que estão tomando conta das inscrições são muito tranquilas
050da8f6-fd58-42b6-8066-82fb42c0fa4b,estão de parabéns
3ad87374-5d6b-41e4-a901-00435a3f8c6e,obrigada a michelle por ter aceito esse convite
3ad87374-5d6b-41e4-a901-00435a3f8c6e,a história dela foi linda de escutar
3ad87374-5d6b-41e4-a901-00435a3f8c6e,poder ouvir sobre seu percurso
3ad87374-5d6b-41e4-a901-00435a3f8c6e,sua trajetória para chegar até aqui foi muito bom
a24b5393-ee39-4272-8f84-7f95fa794341,michelle inspirando mulheres
a24b5393-ee39-4272-8f84-7f95fa794341,muito bom
050da8f6-fd58-42b6-8066-82fb42c0fa4b,o evento é bem organizado
050da8f6-fd58-42b6-8066-82fb42c0fa4b,"tem grande atração a qualquer um que passe, chamando a atenção"
b11326b5-9d5e-4d41-9e8a-fe4a2bd9bbb4,conhecer a história
b11326b5-9d5e-4d41-9e8a-fe4a2bd9bbb4,trajetória das mulheres importantes é essencial para o crescimento individual
575e397c-e7d3-4587-9a09-46e3df1ccdf4,"história de vida inspiradora da michelle, muitas vezes a família pesa nas nossas decisões"
575e397c-e7d3-4587-9a09-46e3df1ccdf4,parabéns
3e429152-f456-498f-9abb-459b5388f42d,palestra incrível sobre a trajetória de uma mulher em cargo de liderança
342d6dfe-f757-4730-97bc-246b444e6474,uma oportunidade incrível de participar da edição wit de 2025 ⭐️
3e429152-f456-498f-9abb-459b5388f42d,evento lindo
3e429152-f456-498f-9abb-459b5388f42d,muito bem organizado
3e429152-f456-498f-9abb-459b5388f42d,muito feliz em prestigiar as palestrantes
3e429152-f456-498f-9abb-459b5388f42d,pessoas autoras
18539e11-61c0-49b8-9bc8-f628af7e8159,muito bom ouvir a experiência de vida da michelle
a6584b5b-822e-4c85-be5b-e91db87dc16e,palestra de michelle wangham é uma inspiração para todas as mulheres
192b32a5-e58c-4098-9904-78bda4615134,ótima palestra
a31c1cb8-e9bd-4faa-854e-3b114bbb62ed,palestra maravilhosa
a31c1cb8-e9bd-4faa-854e-3b114bbb62ed,muito bom estar presente
192b32a5-e58c-4098-9904-78bda4615134,não vejo a hora da próxima
0708d7a9-ed61-4c3c-9a29-dd8d999363e3,belíssima fala da michele
a31c1cb8-e9bd-4faa-854e-3b114bbb62ed,não vejo a hora de escutar o fórum das meninas digitais
3ecdcc60-1292-4833-9c99-08066e0a6e86,cunhantã digital em maceió
d02b6ff0-dcbf-4984-a11b-da3709dfc569,"ações importantíssimas, parabéns"
d02b6ff0-dcbf-4984-a11b-da3709dfc569,já quero meus selos
d32d63c1-02f8-4d06-9fdb-6dfed1c37967,a palestra da michelle wangham é inspiradora
d32d63c1-02f8-4d06-9fdb-6dfed1c37967,conhecer histórias
d32d63c1-02f8-4d06-9fdb-6dfed1c37967,saber toda a dedicação de mulheres incríveis hoje em dia me inspira a continuar
d32d63c1-02f8-4d06-9fdb-6dfed1c37967,querer ir crescendo cada vez mais igual elas
f2d72cbf-07dd-4592-9ed1-c74275748cb7,"ótima recepção, as meninas são muito educadas"
f2d72cbf-07dd-4592-9ed1-c74275748cb7,gentis
1130f3f4-1e33-482d-a327-745c63f1516b,ufs presente aqui
2d008ba4-8834-40ce-9c01-468181373d96,muito boa a palestra da prof michele
2d008ba4-8834-40ce-9c01-468181373d96,"incentiva bastante, aquece o coração ♥️"
1e2c4536-db1c-40f6-a514-717da937138d,"a organização do evento está incrível, as moças da recepção são calorosas"
1e2c4536-db1c-40f6-a514-717da937138d,explicam tudo muito bem
92884dd4-6d85-4439-b8ed-855f735d689a,ufs presente
92884dd4-6d85-4439-b8ed-855f735d689a,projeto codequeens
f2d72cbf-07dd-4592-9ed1-c74275748cb7,ótima oportunidade para se conectar com outras meninas
f2d72cbf-07dd-4592-9ed1-c74275748cb7,conhecer projetos de todo o brasil
92884dd4-6d85-4439-b8ed-855f735d689a,muito bom
1130f3f4-1e33-482d-a327-745c63f1516b,animada para as próximas palestras
5bb974d7-0d42-4ba7-b115-6f2821843ecc,excelente palestra
5bb974d7-0d42-4ba7-b115-6f2821843ecc,"parabéns, michelle"
1e2c4536-db1c-40f6-a514-717da937138d,"amo o fato de termos um evento só nosso, só das mulheres"
1e2c4536-db1c-40f6-a514-717da937138d,"não somos maioria,"
