participante,comentário,dia
7f4977eb-e628-41a1-8187-fe99fc2a7838,"Excelente a fala da professora Mariangela sobre o IA responsável. ",02/06/2026 11:26
bc157c41-c262-4140-8f28-1ea55ff79ac8,Ótima palestra!,02/06/2026 11:32
269ccca4-7e9f-47f2-8825-5e50cc079364,Está sendo um momento de muito aprendizado!,02/06/2026 11:33
69958279-685e-4ae5-b0b4-fd275fb5b634,"Melhor sinalização dos espaços ",02/06/2026 11:34
40c03082-0ba8-4f6a-936e-2e20da78fdf9,Excelente palestra da Dra. Mariangela!!,02/06/2026 11:37
69259bc4-0c4f-480f-accc-26e7f65df33e,"Como garantir que não haja engenharia reversa dos artigos que usam os dados da “sala segura” para descobrir e revelar estes dados? ",02/06/2026 11:40
73a3aa93-aba2-4acf-8bbb-2cb090d6db20,"Muito boa a palestra da dra Mariangela, muitas informações sobre as bases e atividades do SUS",02/06/2026 11:45
00e5af24-9961-4039-9423-d25e3a01c59d,Excelente evento!,02/06/2026 11:48
f4f50c3a-f179-475c-b171-650635c18c00,"Ótimas apresentações agora pela manhã, a palestra da professora Mariângela foi bastante interessante! ",02/06/2026 11:54
59703b63-96af-403b-8039-1576ab082580,"Gostei muito das palestras até aqui. ",02/06/2026 11:55
035c7b4d-49f1-4d84-b6be-9a0dc4296e95,Evento incrível!,02/06/2026 12:03
167cbd85-3094-4e41-bc94-e05cef14b92a,Muito boas as palestras!,02/06/2026 12:03
691ae135-f571-41cc-a804-0078c9f54573,"Excelente organização do congresso. Foi difícil entender o recado dado na hora do coffe break, o som não estava distribuído e a conversa alta.",02/06/2026 12:04
9005a7dc-b599-4c0d-95c5-d218b26cdbe5,Excelente!!! Possibilitou importantes reflexões!,02/06/2026 12:05
dcd49bfa-88c8-4eea-9519-40ab7d7a30ed,"O evento é está sendo muito bem organizado. O aplicativo ajuda muito para identificar as atividades que estão acontecendo no momento. ",02/06/2026 12:16
6ef0ccc9-6ef9-468a-b56c-05f3213e47cd,"Excelente palestra, todos os tópicos muito bem apresentados",02/06/2026 13:23
823ce755-6b18-4988-a607-f0c468c2be31,Extremamente satisfeito com o conteúdo da palestra.,02/06/2026 13:24
030571b7-ee9e-4dde-a0b7-154dd4fa932a,As apresentações estão excelentes,02/06/2026 13:25
07a447b7-0087-4651-86fd-80f3cc6bdb71,Excelente! 👏,02/06/2026 13:25
5f8cfa9f-2d1b-4117-a420-5f310b0eecf5,Top,02/06/2026 13:32
7dfe9743-366a-42d3-b9a4-7b3583411390,"Achei a primeira palestra muito boa, principalmente por abordar uma perspectiva mais explicativa do porque das burocracias",02/06/2026 13:37
cd80ce32-ee27-45dc-8e64-33fd6d345147,"Incrível o evento, desde a organização ate as palestras e atividades! ",02/06/2026 13:43
5cc7a4af-58b0-4250-b443-4449e15eef13,"Adorei a organização, possibilidade de almoço no local e o aplicativo que deixa organizado as sessões e perguntas para as palestras",02/06/2026 13:51
de7b6f16-93dc-470b-9630-512a205a74fc,"Ótimo evento! ",02/06/2026 13:58
bed39916-36f3-466d-b6ae-7a755d05ae2b,"Eu gostaria de ter o programa impresso e não depender do celular. ",02/06/2026 14:12
4cfcdaf1-6b7f-4ae4-b569-10b768c7eee8,Palestras ótimas! Trabalhos selecionados muito bons. Parabéns! Evento muito bem organizado.,02/06/2026 14:16
aacf456a-a39c-443a-acac-fdbfe33ae1a7,"Muito bom ",02/06/2026 14:18
8d4eba08-965d-4d63-9326-483ea90a5b84,"Evento maravilhoso! Tudo bem organizado. ",02/06/2026 14:34
1b77ab5f-bd9f-41c1-9155-545c2f001d9f,"Estavam de ótima qualidade ",02/06/2026 14:59
1b77ab5f-bd9f-41c1-9155-545c2f001d9f,"O evento está um sucesso, parabéns a comissão organizadora!",02/06/2026 15:00
26becc05-41ca-4641-a14a-15a9eb99b6ba,"Evento muito bom, com vários artigos interessantes ",02/06/2026 15:02
d2f20099-a839-4b81-8f66-2a95f7405db8,"Excelente apresentações ",02/06/2026 15:04
bdb91c1d-ce59-4db8-906c-59d69d21b971,"A palestra 2, ministrada pela Prof.ª Dr.ª Mariangela, foi excelente, especialmente pela discussão sobre o impasse entre a segurança e a liberação dos dados.",02/06/2026 15:34
3a79a22f-4c08-4337-9dbe-44a9fb05fe73,Evento impecável. Muitas parcerias e aprendizado.,02/06/2026 15:44
ad80823e-7226-47fb-955f-78a5253b0a2f,Muito legal essa palestra!,02/06/2026 16:20
0a29c46c-ce21-489a-8bbf-fedf54d37c5a,Muito satisfeita com o evento. Qualidade em todas as entregas.,02/06/2026 16:20
26cd3747-b517-4f9e-b709-fe83de76ace8,Ótima palestra da Daniela,02/06/2026 16:42
96892dbd-8b72-4acf-9839-019389cecc95,Excelente a palestra da professora Daniela,02/06/2026 16:48
9dee5511-aebe-45ce-8f44-20fd3f2efc6a,muito bom o evento,02/06/2026 16:54
14bfe8fd-20d0-418c-b0a3-19b3279a5add,Awesome!,02/06/2026 16:56
5b94f366-a283-4370-a957-f61516bd0a9c,"Excelente ",02/06/2026 16:58
5ae9d999-c09f-44ff-8387-97bf5115c09b,Muito relevantes os temas de hoje. Descobrindo várias coisas novas no evento hoje!,02/06/2026 16:59
9230ac7f-543f-4125-8d6f-78b229ecadf3,Boa palestra,02/06/2026 17:04
89979c36-43c1-439d-9866-f755ddb8041f,A palestra da Daniela foi ótima! Acessível e com temas interessantes ao mesmo tempo!,02/06/2026 17:05
81078880-b454-4643-ad50-c769c1f82c11,Muito legal,02/06/2026 18:03
eeceb45f-355a-4579-afff-b85ce8811d35,Muito bom!,02/06/2026 18:15
