usuario,texto,entidade_mencionada
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,sorteia um abadá do mymobconf😭😭😭😭,Secom
219bdf7f-fa3a-4d8f-9e33-b83980cc7afb,sorteia um abadá do mymobconf😭😭😭😭,Mymobconf
9aa2b218-1ce5-4019-8e59-cefd44bc9866,vamos trojan,Trojan
d0881343-b903-4573-aee3-c821f2e201de,as palestras estão muito boas,Palestras
91c06250-9999-4019-95bb-12b3cfebb7ca,"muito bacana ter várias pessoas que já se formaram, aqui novamente na
ufv",Pessoal
d0881343-b903-4573-aee3-c821f2e201de,ansioso para ver como vai ser a maratona,Maratona
daac9055-17a0-4775-bb21-9c0add9d45ec,muito legal o tema da mesa redonda,Secom
daac9055-17a0-4775-bb21-9c0add9d45ec,muito legal o tema da mesa redonda,Mesa
3e72f254-acab-4aec-ad73-bf9dff9c21ad,ansiosa pela maratona,Maratona
30a1d1e4-da0d-4f67-9908-6bc16a47ebc4,gostei muito do desenvolvimento do app nesses 3 anos que conheci,Projeto
30a1d1e4-da0d-4f67-9908-6bc16a47ebc4,gostei muito do desenvolvimento do app nesses 3 anos que conheci,Tarde
30a1d1e4-da0d-4f67-9908-6bc16a47ebc4,gostei muito do desenvolvimento do app nesses 3 anos que conheci,App
98d481f0-cfc5-4976-9bfb-61e179be6958,"o tema da mesa redonda foi muito bom, um tema muito importante para todo estudante que está querendo ingressar no mercado de trabalho",Mercado
98d481f0-cfc5-4976-9bfb-61e179be6958,"o tema da mesa redonda foi muito bom, um tema muito importante para todo estudante que está querendo ingressar no mercado de trabalho",Trabalho
98d481f0-cfc5-4976-9bfb-61e179be6958,"o tema da mesa redonda foi muito bom, um tema muito importante para todo estudante que está querendo ingressar no mercado de trabalho",Secom
98d481f0-cfc5-4976-9bfb-61e179be6958,"o tema da mesa redonda foi muito bom, um tema muito importante para todo estudante que está querendo ingressar no mercado de trabalho",Curso
98d481f0-cfc5-4976-9bfb-61e179be6958,"o tema da mesa redonda foi muito bom, um tema muito importante para todo estudante que está querendo ingressar no mercado de trabalho",Mesa
9cd6db67-067e-45e7-8db9-db3f3a10afc6,"o tema escolhido caiu direitinho, pois nós que estamos preste a formar temos essas dúvidas",Secom
d51c3bbb-185b-4a34-848a-607621bd7cc2,muito bom essa mesa redonda,Mesa
