usuario,texto,entidade_mencionada
6e490da9-d604-49fa-b782-7cc09c1615d3,muito significado estar num evento que valoriza mulheres na tecnologia,Mulheres
6e490da9-d604-49fa-b782-7cc09c1615d3,muito significado estar num evento que valoriza mulheres na tecnologia,Tecnologia
ae163e36-169f-44a1-8c73-558123924278,incrível ouvir de uma mulher na área de cibersegurança,Mulheres
ae163e36-169f-44a1-8c73-558123924278,incrível ouvir de uma mulher na área de cibersegurança,Ciberseguranca🩷
ae163e36-169f-44a1-8c73-558123924278,incrível ouvir de uma mulher na área de cibersegurança,Area
ae163e36-169f-44a1-8c73-558123924278,inspiração,Inspiracao
ae163e36-169f-44a1-8c73-558123924278,boa ideia de gamificação,Ideia
ae163e36-169f-44a1-8c73-558123924278,boa ideia de gamificação,Gamificacao
ae163e36-169f-44a1-8c73-558123924278,dinâmica atraente,Dinamica
934ac1e9-8a9e-4865-977f-b22e4bbce84e,uhuuul ansiosa por toda a programação,Programacao
0075ff65-ea4f-498d-992f-ada2464aa615,muito show a abertura,Abertura
c2b6bd29-c4b7-4ad9-ab56-0ec11fd42341,muita emoção neste inicio do wit,Abertura
c2b6bd29-c4b7-4ad9-ab56-0ec11fd42341,muita emoção neste inicio do wit,Pena
c90f49e7-30eb-4954-bad6-ff13e4342a57,ansiosa para todos esses dias,Organizacao
ed496342-5088-4e03-9bf6-270dbfd06758,abertura está cheia de momentos especiais 🤩,Abertura
ed496342-5088-4e03-9bf6-270dbfd06758,abertura está cheia de momentos especiais 🤩,Momento
97bb898c-af32-4429-b56c-5914309a8775,muito feliz de conhecer mulheres tão incríveis,Mulheres
ae4d3fbb-069f-4906-895d-6ff10de1bdb9,"ótima palestra de abertura, tudo muito bem explicado",Abertura
ae4d3fbb-069f-4906-895d-6ff10de1bdb9,"ótima palestra de abertura, tudo muito bem explicado",Palestra
ae4d3fbb-069f-4906-895d-6ff10de1bdb9,a equipe é super divertida,Equipe
412301d3-9406-4057-b8ca-f6c63f066ec3,adorei com certeza venho nas próximas edições,Engie
ec75f459-7b9d-4c5e-a6c6-7e8f15491c4b,"palestras muito interessantes, parabens",Palestra
b276ced5-ff2f-4c66-821d-f7751ca3e6d8,amando a vibe boa do wit,Organizacao
c8ddbe59-a031-4194-add3-db3071ddcbef,amando a abertura do wit,Abertura
c8ddbe59-a031-4194-add3-db3071ddcbef,meninas na computação,Mulheres
c8ddbe59-a031-4194-add3-db3071ddcbef,meninas na computação,Computacao
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,"estar no wit foi mais do que participar de um evento — foi se reconhecer em histórias, se inspirar em trajetórias",Trajetoria
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,"estar no wit foi mais do que participar de um evento — foi se reconhecer em histórias, se inspirar em trajetórias",Artigos
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,renovar o compromisso com a transformação que queremos ver na tecnologia,Transformacao
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,renovar o compromisso com a transformação que queremos ver na tecnologia,Apoio
1b58aa1e-e0c5-485a-8317-7bbe5c074e42,renovar o compromisso com a transformação que queremos ver na tecnologia,Tecnologia
412301d3-9406-4057-b8ca-f6c63f066ec3,amei a ideia de sorteios,Ideia
412301d3-9406-4057-b8ca-f6c63f066ec3,amei a ideia de sorteios,Organizacao
412301d3-9406-4057-b8ca-f6c63f066ec3,brindes,Sessao
de8d707d-b7b7-43bd-9191-a060a88bb761,"que evento incrível, animada para as próximas atividades 🤩",Eventos
d9d06ba9-ddc7-49e3-8ff8-cfc02ea63d0f,tô animada demaaais pra conhecer os projetos,Animada
d9d06ba9-ddc7-49e3-8ff8-cfc02ea63d0f,tô animada demaaais pra conhecer os projetos,Projetos
d9d06ba9-ddc7-49e3-8ff8-cfc02ea63d0f,ver os artigos,Artigos
16d2d16a-6864-4d0c-afe3-d87991308ec5,"eu acho que pelo menos no último ano, além de ouvir comentários, o número de meninas na área da computação tem diminuido, ou seja, é muito bom a presença do wit para continuar ajudando as mulheres",Numeros
16d2d16a-6864-4d0c-afe3-d87991308ec5,"eu acho que pelo menos no último ano, além de ouvir comentários, o número de meninas na área da computação tem diminuido, ou seja, é muito bom a presença do wit para continuar ajudando as mulheres",Organizacao
16d2d16a-6864-4d0c-afe3-d87991308ec5,"eu acho que pelo menos no último ano, além de ouvir comentários, o número de meninas na área da computação tem diminuido, ou seja, é muito bom a presença do wit para continuar ajudando as mulheres",Mulheres
16d2d16a-6864-4d0c-afe3-d87991308ec5,"eu acho que pelo menos no último ano, além de ouvir comentários, o número de meninas na área da computação tem diminuido, ou seja, é muito bom a presença do wit para continuar ajudando as mulheres",Pouquinho
16d2d16a-6864-4d0c-afe3-d87991308ec5,"eu acho que pelo menos no último ano, além de ouvir comentários, o número de meninas na área da computação tem diminuido, ou seja, é muito bom a presença do wit para continuar ajudando as mulheres",Area
16d2d16a-6864-4d0c-afe3-d87991308ec5,"eu acho que pelo menos no último ano, além de ouvir comentários, o número de meninas na área da computação tem diminuido, ou seja, é muito bom a presença do wit para continuar ajudando as mulheres",Computacao
4270590b-ac53-434d-88eb-f948b87a7247,muito massa a inclusão que o wit,Inclusao
4270590b-ac53-434d-88eb-f948b87a7247,"o meninas digitais proporciona, por mais movimentos assim",Mulheres
4270590b-ac53-434d-88eb-f948b87a7247,"o meninas digitais proporciona, por mais movimentos assim",Movimentos
537d3fe2-2cd9-4d63-a1cf-6c6d288411ff,espero vcs no wit 2027 que será em manaus,Organizacao
537d3fe2-2cd9-4d63-a1cf-6c6d288411ff,espero vcs no wit 2027 que será em manaus,Vcs
537d3fe2-2cd9-4d63-a1cf-6c6d288411ff,fabiola somos as coordenadoras do csbc,Simposio
16d2d16a-6864-4d0c-afe3-d87991308ec5,acho essa palestra super necessária,Palestra
cd5e94b1-51c2-4147-a20b-9e1345a0adad,eu ameiii a abertura foi muito legal,Abertura
cd5e94b1-51c2-4147-a20b-9e1345a0adad,eu amo estar nesses ambientes,Ambiente
cd5e94b1-51c2-4147-a20b-9e1345a0adad,entusiasmo em continuar na área,Animada
cd5e94b1-51c2-4147-a20b-9e1345a0adad,entusiasmo em continuar na área,Area
4270590b-ac53-434d-88eb-f948b87a7247,"muito bom ver tantas garotas entrando nesse mercado, que esse número continue crescendo",Mulheres
4270590b-ac53-434d-88eb-f948b87a7247,"muito bom ver tantas garotas entrando nesse mercado, que esse número continue crescendo",Numeros
4270590b-ac53-434d-88eb-f948b87a7247,"muito bom ver tantas garotas entrando nesse mercado, que esse número continue crescendo",Mercado
d230aaa6-976f-49bd-bb8a-21d45dec64ab,parabéns sobre a iniciativa,Projetos
cd5e94b1-51c2-4147-a20b-9e1345a0adad,"a pesquisa sobre cyber segurança eu amooo 
é a área que pretendo seguir com toda certeza",Organizacao
cd5e94b1-51c2-4147-a20b-9e1345a0adad,"a pesquisa sobre cyber segurança eu amooo 
é a área que pretendo seguir com toda certeza",Area
cd5e94b1-51c2-4147-a20b-9e1345a0adad,"a pesquisa sobre cyber segurança eu amooo 
é a área que pretendo seguir com toda certeza",Pesquisa
d230aaa6-976f-49bd-bb8a-21d45dec64ab,gostei da escolha da michelle para a palestra de abertura,Abertura
d230aaa6-976f-49bd-bb8a-21d45dec64ab,gostei da escolha da michelle para a palestra de abertura,Escolha
d230aaa6-976f-49bd-bb8a-21d45dec64ab,gostei da escolha da michelle para a palestra de abertura,Palestra
d230aaa6-976f-49bd-bb8a-21d45dec64ab,gostei da escolha da michelle para a palestra de abertura,Organizacao
1bfbf56f-28e4-4dee-874f-83823030bda3,"amei a ideia do app da gamificação, é legal visualizar as missões que precisamos completar",Gamificacao
1bfbf56f-28e4-4dee-874f-83823030bda3,"amei a ideia do app da gamificação, é legal visualizar as missões que precisamos completar",Ideia
1bfbf56f-28e4-4dee-874f-83823030bda3,"amei a ideia do app da gamificação, é legal visualizar as missões que precisamos completar",Aplicativo
1bfbf56f-28e4-4dee-874f-83823030bda3,"amei a ideia do app da gamificação, é legal visualizar as missões que precisamos completar",Organizacao
6c3e12ff-eaca-45fd-ab7c-b291f088c86e,quantas mulheres incríveis em um só lugar,Mulheres
6c3e12ff-eaca-45fd-ab7c-b291f088c86e,quantas mulheres incríveis em um só lugar,Area
6c3e12ff-eaca-45fd-ab7c-b291f088c86e,muito animada com a gamificação,Gamificacao
d32d63c1-02f8-4d06-9fdb-6dfed1c37967,acho legal a ideia de mostrar por quem está por trás do evento,Ideia
d32d63c1-02f8-4d06-9fdb-6dfed1c37967,é muito bom ver como várias mulheres se esforçaram para fazer esse evento acontecer com a melhor qualidade,Mulheres
d32d63c1-02f8-4d06-9fdb-6dfed1c37967,é muito bom ver como várias mulheres se esforçaram para fazer esse evento acontecer com a melhor qualidade,Qualidade
908bb7b4-88ca-4d4c-83d1-513a4e11c569,estou amandooo,Organizacao
908bb7b4-88ca-4d4c-83d1-513a4e11c569,que experiência incrível,Experiencia
5ca22f49-b601-4a36-81af-dba71e05cf97,mulheres maravilhosas,Mulheres
c5f537b2-2d25-4784-88c0-7d434cd447d9,o mermãs digitais já chegou por aqui,Organizacao
908bb7b4-88ca-4d4c-83d1-513a4e11c569,csbc arrasou nos brindes,Sessao
fa22c635-07b6-4718-9309-2665ad2d1a12,minascoders no wit,Minascoders
c5f537b2-2d25-4784-88c0-7d434cd447d9,o @mermasdigitais quer conhecer cada um de vocês,Palestrantes
c5f537b2-2d25-4784-88c0-7d434cd447d9,o @mermasdigitais quer conhecer cada um de vocês,@mermasdigitais
c5f537b2-2d25-4784-88c0-7d434cd447d9,"então já corre lá no instagram da um oi pra gente, mermã",Merma
7afaf882-baa2-47f7-aa69-a15f8ad3452a,"minha primeira vez no csbc, estou super animada com a programação do wit",Programacao
4a257948-6c61-4d69-b2bf-45561ca9dc96,"parabéns a todas as mulheres que fizeram a evento acontecer, vocês são fundamental na representatividade",Mulheres
4a257948-6c61-4d69-b2bf-45561ca9dc96,"parabéns a todas as mulheres que fizeram a evento acontecer, vocês são fundamental na representatividade",Representatividade
4a257948-6c61-4d69-b2bf-45561ca9dc96,no senso de pertencimento da área da computação,Fato
4a257948-6c61-4d69-b2bf-45561ca9dc96,no senso de pertencimento da área da computação,Computacao
4a257948-6c61-4d69-b2bf-45561ca9dc96,no senso de pertencimento da área da computação,Organizacao
4a257948-6c61-4d69-b2bf-45561ca9dc96,no senso de pertencimento da área da computação,Area
d9d06ba9-ddc7-49e3-8ff8-cfc02ea63d0f,muito feliz em ver o meninas,Mulheres
d9d06ba9-ddc7-49e3-8ff8-cfc02ea63d0f,comp em peso aqui,Peso
4a257948-6c61-4d69-b2bf-45561ca9dc96,"fico muito feliz de estar presente aqui, gostei bastante da organização de vocês, o aplicativo foi fundamental para isso",Aplicativo
4a257948-6c61-4d69-b2bf-45561ca9dc96,"fico muito feliz de estar presente aqui, gostei bastante da organização de vocês, o aplicativo foi fundamental para isso",Organizacao
a5c89d02-dd46-4fb9-880f-0b2d4cb3fa2c,super interessante o tema da palestra,Organizacao
a5c89d02-dd46-4fb9-880f-0b2d4cb3fa2c,super interessante o tema da palestra,Palestra
a5c89d02-dd46-4fb9-880f-0b2d4cb3fa2c,super interessante o tema da palestra,Super
a5c89d02-dd46-4fb9-880f-0b2d4cb3fa2c,o protagonismo das mulheres em ti,Mulheres
a5c89d02-dd46-4fb9-880f-0b2d4cb3fa2c,o protagonismo das mulheres em ti,Organizacao
e9b594f7-6309-4190-9032-4dde803e2d6a,muito bom conhecer a história de outras mulheres na área👏👏👏,Mulheres
